doc,clean,tokens,prediction,ground_truth
"It will be just don’t use any substance I learned I even abused weed if that makes sense, I would let it control me just like opiates. Because I have no self control",will be just dont use any substance learned even abused weed if makes sense would let control just like opiates because have no self control,"['will', 'be', 'just', 'dont', 'use', 'any', 'substance', 'learned', 'even', 'abused', 'weed', 'if', 'makes', 'sense', 'would', 'let', 'control', 'just', 'like', 'opiates', 'because', 'have', 'no', 'self', 'control']",0,0
I want to go do this but I’m so self conscious cause I would have no idea what to do when I got into a gym. Like what exercises to do without looking like an idiot,want to go do but im so self conscious cause would have no idea to do when got into a gym like exercises to do without looking like an idiot,"['want', 'to', 'go', 'do', 'but', 'im', 'so', 'self', 'conscious', 'cause', 'would', 'have', 'no', 'idea', 'to', 'do', 'when', 'got', 'into', 'a', 'gym', 'like', 'exercises', 'to', 'do', 'without', 'looking', 'like', 'an', 'idiot']",0,0
Do you think it helped rather than jumping off from the start? I know it will be painful either way but I think I might not do it just so I can avoid felling shitty for longer and get the acute withdrawals over with.,do think helped rather than jumping off from the start know will be painful either way but think might not do just so can avoid felling shitty for longer and get the acute withdrawals over with,"['do', 'think', 'helped', 'rather', 'than', 'jumping', 'off', 'from', 'the', 'start', 'know', 'will', 'be', 'painful', 'either', 'way', 'but', 'think', 'might', 'not', 'do', 'just', 'so', 'can', 'avoid', 'felling', 'shitty', 'for', 'longer', 'and', 'get', 'the', 'acute', 'withdrawals', 'over', 'with']",0,0
"TBH When I get clean I have so much energy, I feel well again and happy I don't have to worry about gear.

With a habit, I'll feel high for 6 hours, then sick again until I can redose.  Going through that every day sucks,  you can even sometimes get sick of the buzz.",tbh when get clean have so much energy feel well again and happy do not have to worry about gear with a habit will feel high for 6 hours then sick again until can redose going through every day sucks can even sometimes get sick of the buzz,"['tbh', 'when', 'get', 'clean', 'have', 'so', 'much', 'energy', 'feel', 'well', 'again', 'and', 'happy', 'do', 'not', 'have', 'to', 'worry', 'about', 'gear', 'with', 'a', 'habit', 'will', 'feel', 'high', 'for', '6', 'hours', 'then', 'sick', 'again', 'until', 'can', 'redose', 'going', 'through', 'every', 'day', 'sucks', 'can', 'even', 'sometimes', 'get', 'sick', 'of', 'the', 'buzz']",0,0
"thank you so much. As addiction is a chronically relapsing disease, I know I will slip up at some point later in life. I know I will deal with this for the rest of my life; that is a given.

Thank you for the advice and encouragement. It helps so much",thank so much as addiction is a chronically relapsing disease know will slip up at some point later in life know will deal with for the rest of life is a given thank for the advice and encouragement helps so much,"['thank', 'so', 'much', 'as', 'addiction', 'is', 'a', 'chronically', 'relapsing', 'disease', 'know', 'will', 'slip', 'up', 'at', 'some', 'point', 'later', 'in', 'life', 'know', 'will', 'deal', 'with', 'for', 'the', 'rest', 'of', 'life', 'is', 'a', 'given', 'thank', 'for', 'the', 'advice', 'and', 'encouragement', 'helps', 'so', 'much']",0,0
"Nothing I could ever say would take your pain away, I just wanted to let you know I read your story and greatly admire your strength. I hope you keep on fighting, if you can't for yourself, then for the memory of your daughter.",nothing could ever say would take pain away just wanted to let know read story and greatly admire strength hope keep on fighting if can not for then for the memory of daughter,"['nothing', 'could', 'ever', 'say', 'would', 'take', 'pain', 'away', 'just', 'wanted', 'to', 'let', 'know', 'read', 'story', 'and', 'greatly', 'admire', 'strength', 'hope', 'keep', 'on', 'fighting', 'if', 'can', 'not', 'for', 'then', 'for', 'the', 'memory', 'of', 'daughter']",0,0
"Have you tried calling social services? Please don't even consider ending things. I've been there... I STILL get to that point sometimes.... but things will get better, I promise.",have tried calling social services please do not even consider ending things have been there still get to point sometimes but things will get better promise,"['have', 'tried', 'calling', 'social', 'services', 'please', 'do', 'not', 'even', 'consider', 'ending', 'things', 'have', 'been', 'there', 'still', 'get', 'to', 'point', 'sometimes', 'but', 'things', 'will', 'get', 'better', 'promise']",0,0
I’m in the same situation. I’m really hoping I can taper? DM me if you need a friend. I hate myself so much I cry every day because I just want to be done so bad.,im in the same situation im really hoping can taper dm if need a friend hate so much cry every day because just want to be done so bad,"['im', 'in', 'the', 'same', 'situation', 'im', 'really', 'hoping', 'can', 'taper', 'dm', 'if', 'need', 'a', 'friend', 'hate', 'so', 'much', 'cry', 'every', 'day', 'because', 'just', 'want', 'to', 'be', 'done', 'so', 'bad']",0,0
"It will be one of the toughest things you ever do. It will also be the most rewarding.

&amp;#x200B;

Its simple.. you only need to change one thing.. and thats everything. I am in the same struggle. Much love",will be one of the toughest things ever do will also be the most rewarding ampx200b simple only need to change one thing and thats everything am in the same struggle much love,"['will', 'be', 'one', 'of', 'the', 'toughest', 'things', 'ever', 'do', 'will', 'also', 'be', 'the', 'most', 'rewarding', 'ampx200b', 'simple', 'only', 'need', 'to', 'change', 'one', 'thing', 'and', 'thats', 'everything', 'am', 'in', 'the', 'same', 'struggle', 'much', 'love']",0,0
"I'm no expert but I mostly hear about withdrawals from long-term use, but maybe like opiates they start faster if you've been addicted before? Either way probably best to knock them off soon",am no expert but mostly hear about withdrawals from longterm use but maybe like opiates start faster if have been addicted before either way probably best to knock off soon,"['am', 'no', 'expert', 'but', 'mostly', 'hear', 'about', 'withdrawals', 'from', 'longterm', 'use', 'but', 'maybe', 'like', 'opiates', 'start', 'faster', 'if', 'have', 'been', 'addicted', 'before', 'either', 'way', 'probably', 'best', 'to', 'knock', 'off', 'soon']",0,0
"I love getting fucked up too , but I also enjoy having money, and a future . I guess you need to find a reason to be sober ? I don’t know if that helps . Remember you can always smoke weed and get through the urges .",love getting fucked up too but also enjoy having money and a future guess need to find a reason to be sober dont know if helps remember can always smoke weed and get through the urges,"['love', 'getting', 'fucked', 'up', 'too', 'but', 'also', 'enjoy', 'having', 'money', 'and', 'a', 'future', 'guess', 'need', 'to', 'find', 'a', 'reason', 'to', 'be', 'sober', 'dont', 'know', 'if', 'helps', 'remember', 'can', 'always', 'smoke', 'weed', 'and', 'get', 'through', 'the', 'urges']",0,0
do you think itll improve at 60 days. Im almost there I just need something to look foward to im so close to relapsing every night.,do think itll improve at 60 days im almost there just need something to look foward to im so close to relapsing every night,"['do', 'think', 'itll', 'improve', 'at', '60', 'days', 'im', 'almost', 'there', 'just', 'need', 'something', 'to', 'look', 'foward', 'to', 'im', 'so', 'close', 'to', 'relapsing', 'every', 'night']",0,0
Inspiring! Yeah I’m going to be using Xanax for the first night so I can really rest and let my body heal,inspiring yeah im going to be using xanax for the first night so can really rest and let body heal,"['inspiring', 'yeah', 'im', 'going', 'to', 'be', 'using', 'xanax', 'for', 'the', 'first', 'night', 'so', 'can', 'really', 'rest', 'and', 'let', 'body', 'heal']",0,0
God I want it so bad. I’m only getting high to not be sick. It’s no way to live.,god want so bad im only getting high to not be sick no way to live,"['god', 'want', 'so', 'bad', 'im', 'only', 'getting', 'high', 'to', 'not', 'be', 'sick', 'no', 'way', 'to', 'live']",0,0
"Keep it up brother. Just think of the hell those pills have caused you, and how amazing your life will be once this part is behind you!",keep up brother just think of the hell pills have caused and how amazing life will be once part is behind,"['keep', 'up', 'brother', 'just', 'think', 'of', 'the', 'hell', 'pills', 'have', 'caused', 'and', 'how', 'amazing', 'life', 'will', 'be', 'once', 'part', 'is', 'behind']",0,0
I feel ya. The good news is that doing healthy stuff when you're sober (after you get through acute withdrawals) is actually fun again. And living your BEST life is totally worth the pain / work. You got this! Keep posting here and be honest with yourself!,feel ya the good news is doing healthy stuff when are sober after get through acute withdrawals is actually fun again and living best life is totally worth the pain work got keep posting here and be honest with,"['feel', 'ya', 'the', 'good', 'news', 'is', 'doing', 'healthy', 'stuff', 'when', 'are', 'sober', 'after', 'get', 'through', 'acute', 'withdrawals', 'is', 'actually', 'fun', 'again', 'and', 'living', 'best', 'life', 'is', 'totally', 'worth', 'the', 'pain', 'work', 'got', 'keep', 'posting', 'here', 'and', 'be', 'honest', 'with']",0,0
If he is trying to get sober(some day ) even eventually he should try to not destroy his body with alcohol the rest is fine hope all is good I’m about in the same boat but getting clean/healthy through subs after surgery,if is trying to get sobersome day even eventually should try to not destroy body with alcohol the rest is fine hope all is good im about in the same boat but getting cleanhealthy through subs after surgery,"['if', 'is', 'trying', 'to', 'get', 'sobersome', 'day', 'even', 'eventually', 'should', 'try', 'to', 'not', 'destroy', 'body', 'with', 'alcohol', 'the', 'rest', 'is', 'fine', 'hope', 'all', 'is', 'good', 'im', 'about', 'in', 'the', 'same', 'boat', 'but', 'getting', 'cleanhealthy', 'through', 'subs', 'after', 'surgery']",0,0
