doc,clean,tokens,prediction,ground_truth
"I tested it with marquis test and they tested oxy, I was scared they were fent",tested with marquis test and tested oxy was scared were fent,"['tested', 'with', 'marquis', 'test', 'and', 'tested', 'oxy', 'was', 'scared', 'were', 'fent']",1,2
I think the worst part was the god awful taste of chemicals. Its like your body is pulling from every corner and pushing chemicals out. Gives me PTSD just thinking about that night.,think the worst part was the god awful taste of chemicals like body is pulling from every corner and pushing chemicals out gives ptsd just thinking about night,"['think', 'the', 'worst', 'part', 'was', 'the', 'god', 'awful', 'taste', 'of', 'chemicals', 'like', 'body', 'is', 'pulling', 'from', 'every', 'corner', 'and', 'pushing', 'chemicals', 'out', 'gives', 'ptsd', 'just', 'thinking', 'about', 'night']",1,2
Kratom tastes super disgusting so I’d recommend the capsules. yeah it’s wayyyy more expensive but they’re many times easier than trying to choke down that dogshit,kratom tastes super disgusting so id recommend the capsules yeah wayyyy more expensive but theyre many times easier than trying to choke down dogshit,"['kratom', 'tastes', 'super', 'disgusting', 'so', 'id', 'recommend', 'the', 'capsules', 'yeah', 'wayyyy', 'more', 'expensive', 'but', 'theyre', 'many', 'times', 'easier', 'than', 'trying', 'to', 'choke', 'down', 'dogshit']",1,2
"To give myself every tool available to deal with cravings and get some serious time beyond this relapse. I know MAT isn’t for everyone, but it’s worked for me in the past and I didn’t have much trouble stopping the subs when the time came.",to give every tool available to deal with cravings and get some serious time beyond relapse know mat isnt for everyone but worked for in the past and didnt have much trouble stopping the subs when the time came,"['to', 'give', 'every', 'tool', 'available', 'to', 'deal', 'with', 'cravings', 'and', 'get', 'some', 'serious', 'time', 'beyond', 'relapse', 'know', 'mat', 'isnt', 'for', 'everyone', 'but', 'worked', 'for', 'in', 'the', 'past', 'and', 'didnt', 'have', 'much', 'trouble', 'stopping', 'the', 'subs', 'when', 'the', 'time', 'came']",1,2
"Yep I go from 20 bag to whole paycheck in about a two week timeframe from my last relapse, which was when the stimulus went out (guess where my stimulus went)",yep go from 20 bag to whole paycheck in about a two week timeframe from last relapse was when the stimulus went out guess where stimulus went,"['yep', 'go', 'from', '20', 'bag', 'to', 'whole', 'paycheck', 'in', 'about', 'a', 'two', 'week', 'timeframe', 'from', 'last', 'relapse', 'was', 'when', 'the', 'stimulus', 'went', 'out', 'guess', 'where', 'stimulus', 'went']",1,2
"Ok so tell me this ! Why is it every time I sober up on meth and ghb kik back ..then
take some Adderall, next thing you know.. it's cloudy with a chance of Shards.",ok so tell why is every time sober up on meth and ghb kik back then take some adderall next thing know is cloudy with a chance of shards,"['ok', 'so', 'tell', 'why', 'is', 'every', 'time', 'sober', 'up', 'on', 'meth', 'and', 'ghb', 'kik', 'back', 'then', 'take', 'some', 'adderall', 'next', 'thing', 'know', 'is', 'cloudy', 'with', 'a', 'chance', 'of', 'shards']",1,2
"also forgor to mention i slept outside on our garden on a very uncomfortable bench but it was a way better sleep than my bed could ever give, also why does sleeping on meth feel way better than sober sleeping",also forgor to mention slept outside on garden on a very uncomfortable bench but was a way better sleep than bed could ever give also why does sleeping on meth feel way better than sober sleeping,"['also', 'forgor', 'to', 'mention', 'slept', 'outside', 'on', 'garden', 'on', 'a', 'very', 'uncomfortable', 'bench', 'but', 'was', 'a', 'way', 'better', 'sleep', 'than', 'bed', 'could', 'ever', 'give', 'also', 'why', 'does', 'sleeping', 'on', 'meth', 'feel', 'way', 'better', 'than', 'sober', 'sleeping']",1,2
Totally missed a doctors appointment cause I was knocked out off this tramadol 🤦🏾‍♀️,totally missed a doctors appointment cause was knocked out off tramadol,"['totally', 'missed', 'a', 'doctors', 'appointment', 'cause', 'was', 'knocked', 'out', 'off', 'tramadol']",1,2
"Morning #RecoveryPosse today I wont say to the mrs meeting the lads after work be home at 7 I’ll bring a takeaway. Then text her I’m not coming home, sort yourself out after I’ve had cocaine &amp; beers. Roll in at 4am, ruin my weekend &amp; my relationship.

Today I stay clean &amp; sober",morning recoveryposse today wont say to the mrs meeting the lads after work be home at 7 ill bring a takeaway then text im not coming home sort out after ive had cocaine amp beers roll in at 4am ruin weekend amp relationship today stay clean amp sober,"['morning', 'recoveryposse', 'today', 'wont', 'say', 'to', 'the', 'mrs', 'meeting', 'the', 'lads', 'after', 'work', 'be', 'home', 'at', '7', 'ill', 'bring', 'a', 'takeaway', 'then', 'text', 'im', 'not', 'coming', 'home', 'sort', 'out', 'after', 'ive', 'had', 'cocaine', 'amp', 'beers', 'roll', 'in', 'at', '4am', 'ruin', 'weekend', 'amp', 'relationship', 'today', 'stay', 'clean', 'amp', 'sober']",1,2
Ive been an addict mate and noone cares. All i cared about was my next hit.,ive been an addict mate and noone cares all cared about was next hit,"['ive', 'been', 'an', 'addict', 'mate', 'and', 'noone', 'cares', 'all', 'cared', 'about', 'was', 'next', 'hit']",1,2
