doc,clean,tokens,prediction,ground_truth
You dont need to feel guilt or shame. You turned that stuff down. Good job. You're still early in the ballgame. Cravings are normal and natural. They'll get better.,dont need to feel guilt or shame turned stuff down good job are still early in the ballgame cravings are normal and natural will get better,"['dont', 'need', 'to', 'feel', 'guilt', 'or', 'shame', 'turned', 'stuff', 'down', 'good', 'job', 'are', 'still', 'early', 'in', 'the', 'ballgame', 'cravings', 'are', 'normal', 'and', 'natural', 'will', 'get', 'better']",2,1
"Long time booze hound opiate addict, that drank through withdrawals. In my experience it will not extend the opiate withdrawal symptoms, but you'll definitely feel way worse.",long time booze hound opiate addict drank through withdrawals in experience will not extend the opiate withdrawal symptoms but will definitely feel way worse,"['long', 'time', 'booze', 'hound', 'opiate', 'addict', 'drank', 'through', 'withdrawals', 'in', 'experience', 'will', 'not', 'extend', 'the', 'opiate', 'withdrawal', 'symptoms', 'but', 'will', 'definitely', 'feel', 'way', 'worse']",2,1
A relapse? So youve been addicted to these before and u dont know what your body can handle? Stick to the smirnoff bro and send those k57s to me. Cool?,a relapse so youve been addicted to before and u dont know body can handle stick to the smirnoff bro and send k57s to cool,"['a', 'relapse', 'so', 'youve', 'been', 'addicted', 'to', 'before', 'and', 'u', 'dont', 'know', 'body', 'can', 'handle', 'stick', 'to', 'the', 'smirnoff', 'bro', 'and', 'send', 'k57s', 'to', 'cool']",2,1
i did so many cold turkey withdrawals on my own until i found out you can just walk into these places....,did so many cold turkey withdrawals on own until found out can just walk into places,"['did', 'so', 'many', 'cold', 'turkey', 'withdrawals', 'on', 'own', 'until', 'found', 'out', 'can', 'just', 'walk', 'into', 'places']",2,1
I use to sleep right here while I go as addicted to heroin. Don’t let nobody tell you what you can accomplish in life. I’m proof https://t.co/IJNpmq5RQj,use to sleep right here while go as addicted to heroin dont let nobody tell can accomplish in life im proof,"['use', 'to', 'sleep', 'right', 'here', 'while', 'go', 'as', 'addicted', 'to', 'heroin', 'dont', 'let', 'nobody', 'tell', 'can', 'accomplish', 'in', 'life', 'im', 'proof']",2,1
"I will say that during the acute phase I can't stand taking showers. I mean, the hot water can feel good, no doubt, but in general I just feel really cold during the whole process and it makes me miserable.",will say during the acute phase can not stand taking showers mean the hot water can feel good no doubt but in general just feel really cold during the whole process and makes miserable,"['will', 'say', 'during', 'the', 'acute', 'phase', 'can', 'not', 'stand', 'taking', 'showers', 'mean', 'the', 'hot', 'water', 'can', 'feel', 'good', 'no', 'doubt', 'but', 'in', 'general', 'just', 'feel', 'really', 'cold', 'during', 'the', 'whole', 'process', 'and', 'makes', 'miserable']",2,1
I did this as well.. the PAWS depression from a rapid detox is the worst thing ever.. you def pay it one way or another,did as well the paws depression from a rapid detox is the worst thing ever def pay one way or another,"['did', 'as', 'well', 'the', 'paws', 'depression', 'from', 'a', 'rapid', 'detox', 'is', 'the', 'worst', 'thing', 'ever', 'def', 'pay', 'one', 'way', 'or', 'another']",2,1
My gf has never figured out. Even when time when I get really dizzy and collapsed I talked my way out of it somehow. Y’all ever get that? Like spinners and you can’t stand up?,gf has never figured out even when time when get really dizzy and collapsed talked way out of somehow yall ever get like spinners and cant stand up,"['gf', 'has', 'never', 'figured', 'out', 'even', 'when', 'time', 'when', 'get', 'really', 'dizzy', 'and', 'collapsed', 'talked', 'way', 'out', 'of', 'somehow', 'yall', 'ever', 'get', 'like', 'spinners', 'and', 'cant', 'stand', 'up']",2,1
I sobbed earlier as husband had to help me dress. I felt gross. I’m now laid in bed in agony but not wanting to take morphine as I fucked up my OxyContin earlier &amp; so kinda have twice the dose going on. Don’t tell me I’m differently fucking abled. #DisabilityTwitter,sobbed earlier as husband had to help dress felt gross im now laid in bed in agony but not wanting to take morphine as fucked up oxycontin earlier amp so kinda have twice the dose going on dont tell im differently fucking abled disabilitytwitter,"['sobbed', 'earlier', 'as', 'husband', 'had', 'to', 'help', 'dress', 'felt', 'gross', 'im', 'now', 'laid', 'in', 'bed', 'in', 'agony', 'but', 'not', 'wanting', 'to', 'take', 'morphine', 'as', 'fucked', 'up', 'oxycontin', 'earlier', 'amp', 'so', 'kinda', 'have', 'twice', 'the', 'dose', 'going', 'on', 'dont', 'tell', 'im', 'differently', 'fucking', 'abled', 'disabilitytwitter']",2,1
Idk my days of using were hands down a more exciting time than my days of doing great in college,idk days of using were hands down a more exciting time than days of doing great in college,"['idk', 'days', 'of', 'using', 'were', 'hands', 'down', 'a', 'more', 'exciting', 'time', 'than', 'days', 'of', 'doing', 'great', 'in', 'college']",2,1
